Component,File,Variable,Category,Type,Public?,Risk Level,Context
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,DISCORD_STATE_DIR,Config,Env (Node),No,Low,"import { randomBytes } from 'crypto'
import { readFileSync, writeFileSync, mkdirSync, readdirSync, rmSync, statSync, renameSync, realpathSync, chmodSync } from 'fs'
import { homedir } from 'os'
import"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,DISCORD_BOT_TOKEN,Sensitive,Env (Node),No,Medium,"const m = line.match(/^(\w+)=(.*)$/)
    if (m && process.env[m[1]] === undefined) process.env[m[1]] = m[2]
  }
} catch {}

const TOKEN = process.env.DISCORD_BOT_TOKEN
const STATIC = process.env.DISCO"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,DISCORD_ACCESS_MODE,Config,Env (Node),No,Low,"if (m && process.env[m[1]] === undefined) process.env[m[1]] = m[2]
  }
} catch {}

const TOKEN = process.env.DISCORD_BOT_TOKEN
const STATIC = process.env.DISCORD_ACCESS_MODE === 'static'

if (!TOKEN) "
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/discord/server.ts,session,Sensitive,Auth Token,No,Medium,"// should NOT declare this.
        'claude/channel/permission': {},
      },
    },
    instructions: [
      'The sender reads Discord, not this session. Anything you want them to see must go throug"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/fakechat/server.ts,FAKECHAT_PORT,Config,Env (Node),No,Low,"import { readFileSync, writeFileSync, mkdirSync, statSync, copyFileSync } from 'fs'
import { homedir } from 'os'
import { join, extname, basename } from 'path'
import type { ServerWebSocket } from 'bu"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/fakechat/server.ts,session,Sensitive,Auth Token,No,Medium,"const mcp = new Server(
  { name: 'fakechat', version: '0.1.0' },
  {
    capabilities: { tools: {}, experimental: { 'claude/channel': {} } },
    instructions: `The sender reads the fakechat UI, not "
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,IMESSAGE_ACCESS_MODE,Config,Env (Node),No,Low,"import { randomBytes } from 'crypto'
import { readFileSync, writeFileSync, mkdirSync, readdirSync, rmSync, statSync, renameSync, realpathSync } from 'fs'
import { homedir } from 'os'
import { join, ba"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,IMESSAGE_APPEND_SIGNATURE,Sensitive,Env (Node),No,Medium,"import { readFileSync, writeFileSync, mkdirSync, readdirSync, rmSync, statSync, renameSync, realpathSync } from 'fs'
import { homedir } from 'os'
import { join, basename, sep } from 'path'

const STAT"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,IMESSAGE_ALLOW_SMS,Config,Env (Node),No,Low,"const STATIC = process.env.IMESSAGE_ACCESS_MODE === 'static'
const APPEND_SIGNATURE = process.env.IMESSAGE_APPEND_SIGNATURE !== 'false'
// SMS sender IDs are spoofable; iMessage is Apple-ID-authentica"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,IMESSAGE_DB_PATH,Config,Env (Node),No,Low,"// drops SMS/RCS so a forged sender can't reach the gate. Opt in only if you
// understand the risk.
const ALLOW_SMS = process.env.IMESSAGE_ALLOW_SMS === 'true'
const SIGNATURE = '\nSent by Claude'
co"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,IMESSAGE_STATE_DIR,Config,Env (Node),No,Low,"const ALLOW_SMS = process.env.IMESSAGE_ALLOW_SMS === 'true'
const SIGNATURE = '\nSent by Claude'
const CHAT_DB =
  process.env.IMESSAGE_DB_PATH ?? join(homedir(), 'Library', 'Messages', 'chat.db')

co"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/imessage/server.ts,session,Sensitive,Auth Token,No,Medium,"// can't authenticate the replier should NOT declare this.
        'claude/channel/permission': {},
      },
    },
    instructions: [
      'The sender reads iMessage, not this session. Anything you"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,TELEGRAM_STATE_DIR,Config,Env (Node),No,Low,"import { randomBytes } from 'crypto'
import { readFileSync, writeFileSync, mkdirSync, readdirSync, rmSync, statSync, renameSync, realpathSync, chmodSync } from 'fs'
import { homedir } from 'os'
import"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,TELEGRAM_BOT_TOKEN,Sensitive,Env (Node),No,Medium,"const m = line.match(/^(\w+)=(.*)$/)
    if (m && process.env[m[1]] === undefined) process.env[m[1]] = m[2]
  }
} catch {}

const TOKEN = process.env.TELEGRAM_BOT_TOKEN
const STATIC = process.env.TELE"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,TELEGRAM_ACCESS_MODE,Config,Env (Node),No,Low,"if (m && process.env[m[1]] === undefined) process.env[m[1]] = m[2]
  }
} catch {}

const TOKEN = process.env.TELEGRAM_BOT_TOKEN
const STATIC = process.env.TELEGRAM_ACCESS_MODE === 'static'

if (!TOKEN"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,session,Sensitive,Auth Token,No,Medium,"// should NOT declare this.
        'claude/channel/permission': {},
      },
    },
    instructions: [
      'The sender reads Telegram, not this session. Anything you want them to see must go throu"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,session,Sensitive,Auth Token,No,Medium,"await mcp.connect(new StdioServerTransport())

// When Claude Code closes the MCP connection, stdin gets EOF. Without this
// the bot keeps polling forever as a zombie, holding the token and blocking
"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,session,Sensitive,Auth Token,No,Medium,"if (access.dmPolicy === 'disabled') {
    await ctx.reply(`This bot isn't accepting new connections.`)
    return
  }
  await ctx.reply(
    `This bot bridges Telegram to a Claude Code session.\n\n` +"
.claude-config/plugins,.claude-config/plugins/marketplaces/claude-plugins-official/external_plugins/telegram/server.ts,session,Sensitive,Auth Token,No,Medium,"await ctx.reply(
    `This bot bridges Telegram to a Claude Code session.\n\n` +
    `To pair:\n` +
    `1. DM me anything — you'll get a 6-char code\n` +
    `2. In Claude Code: /telegram:access pair"
